"Time","Latitude","Longitude"
"04/09/2016 06:43:04",51.67655,-0.02199
"04/09/2016 06:43:04",51.67655,-0.02199
"04/09/2016 06:43:24",51.6763,-0.02175
"04/09/2016 06:44:03",51.67632,-0.02173
"04/09/2016 06:44:09",51.67646,-0.02183
"04/09/2016 06:44:14",51.67632,-0.02172
"04/09/2016 06:44:38",51.67633,-0.02172
"04/09/2016 06:44:44",51.67655,-0.02189
"04/09/2016 06:53:40",51.67655,-0.02189
"04/09/2016 06:53:46",51.67655,-0.02177
"04/09/2016 06:54:25",51.67655,-0.02172
"04/09/2016 06:54:31",51.67645,-0.02177
"04/09/2016 06:54:36",51.67655,-0.0219
"04/09/2016 06:54:41",51.67655,-0.02207
"04/09/2016 06:54:46",51.67655,-0.02225
"04/09/2016 06:54:51",51.67649,-0.02234
"04/09/2016 06:54:56",51.67652,-0.02238
"04/09/2016 06:55:01",51.67655,-0.02189
"04/09/2016 06:55:06",51.67655,-0.02189
"04/09/2016 06:55:11",51.67655,-0.02178
"04/09/2016 06:55:16",51.67655,-0.02159
"04/09/2016 06:55:21",51.67655,-0.02145
"04/09/2016 06:55:27",51.67655,-0.02137
"04/09/2016 06:55:32",51.67655,-0.02123
"04/09/2016 06:55:37",51.67658,-0.02101
"04/09/2016 06:55:42",51.67663,-0.02094
"04/09/2016 06:55:47",51.67655,-0.02096
"04/09/2016 06:55:52",51.67594,-0.02107
"04/09/2016 06:55:57",51.67548,-0.02114
"04/09/2016 06:56:02",51.67499,-0.0211
"04/09/2016 06:56:07",51.67488,-0.02084
"04/09/2016 06:56:12",51.67485,-0.02017
"04/09/2016 06:56:17",51.67482,-0.01948
"04/09/2016 06:56:22",51.67477,-0.01883
"04/09/2016 06:56:27",51.67476,-0.01862
"04/09/2016 06:57:02",51.67476,-0.01866
"04/09/2016 06:57:07",51.67472,-0.01826
"04/09/2016 06:57:12",51.67433,-0.01833
"04/09/2016 06:57:17",51.67371,-0.01855
"04/09/2016 06:57:22",51.67303,-0.01876
"04/09/2016 06:57:27",51.67238,-0.01896
"04/09/2016 06:57:32",51.67183,-0.01913
"04/09/2016 06:57:37",51.67134,-0.01928
"04/09/2016 06:57:42",51.67094,-0.01941
"04/09/2016 06:57:51",51.67094,-0.01941
"04/09/2016 06:57:57",51.67084,-0.01943
"04/09/2016 06:58:02",51.67029,-0.01949
"04/09/2016 06:58:07",51.66964,-0.01964
"04/09/2016 06:58:12",51.66907,-0.02025
"04/09/2016 06:58:17",51.66853,-0.02091
"04/09/2016 06:58:22",51.66798,-0.02164
"04/09/2016 06:58:27",51.66738,-0.02215
"04/09/2016 06:58:32",51.66671,-0.0225
"04/09/2016 06:58:37",51.66602,-0.02281
"04/09/2016 06:58:42",51.66536,-0.0232
"04/09/2016 06:58:47",51.66485,-0.02384
"04/09/2016 06:58:52",51.66443,-0.02466
"04/09/2016 06:58:57",51.66404,-0.02545
"04/09/2016 06:59:02",51.66363,-0.0263
"04/09/2016 06:59:07",51.6632,-0.02719
"04/09/2016 06:59:12",51.66276,-0.02803
"04/09/2016 06:59:17",51.66219,-0.02865
"04/09/2016 06:59:22",51.66157,-0.02904
"04/09/2016 06:59:27",51.66094,-0.02929
"04/09/2016 06:59:32",51.66028,-0.02937
"04/09/2016 06:59:37",51.65958,-0.0295
"04/09/2016 06:59:42",51.6589,-0.02968
"04/09/2016 06:59:47",51.6583,-0.02974
"04/09/2016 06:59:52",51.65791,-0.02972
"04/09/2016 06:59:57",51.65783,-0.02971
"04/09/2016 07:00:02",51.65784,-0.02971
"04/09/2016 07:00:07",51.65771,-0.02969
"04/09/2016 07:00:12",51.65732,-0.02965
"04/09/2016 07:00:18",51.65669,-0.02955
"04/09/2016 07:00:23",51.65612,-0.0293
"04/09/2016 07:00:28",51.65544,-0.02904
"04/09/2016 07:00:33",51.65478,-0.02877
"04/09/2016 07:00:38",51.6543,-0.02857
"04/09/2016 07:00:43",51.6539,-0.02864
"04/09/2016 07:00:48",51.65333,-0.02868
"04/09/2016 07:00:53",51.65266,-0.02882
"04/09/2016 07:00:58",51.65199,-0.02903
"04/09/2016 07:01:03",51.65133,-0.02923
"04/09/2016 07:01:08",51.6506,-0.02946
"04/09/2016 07:01:13",51.6499,-0.02968
"04/09/2016 07:01:18",51.64926,-0.02987
"04/09/2016 07:01:23",51.64874,-0.02992
"04/09/2016 07:01:28",51.64827,-0.03007
"04/09/2016 07:01:33",51.64777,-0.03032
"04/09/2016 07:01:38",51.64717,-0.03062
"04/09/2016 07:01:43",51.64648,-0.03102
"04/09/2016 07:01:48",51.64583,-0.0314
"04/09/2016 07:01:53",51.64532,-0.0318
"04/09/2016 07:01:58",51.6449,-0.03217
"04/09/2016 07:02:03",51.64443,-0.03187
"04/09/2016 07:02:08",51.64391,-0.03129
"04/09/2016 07:02:13",51.64337,-0.03056
"04/09/2016 07:02:18",51.64281,-0.02982
"04/09/2016 07:02:23",51.64229,-0.02913
"04/09/2016 07:02:28",51.64172,-0.02836
"04/09/2016 07:02:33",51.64119,-0.02754
"04/09/2016 07:02:38",51.64071,-0.0267
"04/09/2016 07:02:43",51.64036,-0.02578
"04/09/2016 07:02:48",51.64004,-0.0248
"04/09/2016 07:02:53",51.63969,-0.02375
"04/09/2016 07:02:58",51.63937,-0.02277
"04/09/2016 07:03:03",51.63904,-0.02178
"04/09/2016 07:03:08",51.6387,-0.02075
"04/09/2016 07:03:13",51.63838,-0.01978
"04/09/2016 07:03:18",51.63807,-0.01882
"04/09/2016 07:03:23",51.63775,-0.01787
"04/09/2016 07:03:28",51.63745,-0.01694
"04/09/2016 07:03:33",51.63715,-0.01603
"04/09/2016 07:03:38",51.63686,-0.01516
"04/09/2016 07:03:43",51.6366,-0.01442
"04/09/2016 07:03:48",51.63635,-0.01372
"04/09/2016 07:03:53",51.63613,-0.01309
"04/09/2016 07:03:58",51.63589,-0.01246
"04/09/2016 07:04:03",51.63565,-0.01186
"04/09/2016 07:04:08",51.63533,-0.01129
"04/09/2016 07:04:13",51.63499,-0.01072
"04/09/2016 07:04:18",51.63468,-0.01022
"04/09/2016 07:04:23",51.63433,-0.00973
"04/09/2016 07:04:28",51.63391,-0.00921
"04/09/2016 07:04:33",51.63348,-0.0087
"04/09/2016 07:04:38",51.63307,-0.00816
"04/09/2016 07:04:43",51.63276,-0.00745
"04/09/2016 07:04:48",51.63254,-0.00662
"04/09/2016 07:04:53",51.6324,-0.00611
"04/09/2016 07:04:58",51.63223,-0.00545
"04/09/2016 07:05:03",51.63208,-0.00485
"04/09/2016 07:05:08",51.63196,-0.00427
"04/09/2016 07:05:13",51.6319,-0.00367
"04/09/2016 07:05:18",51.63184,-0.00309
"04/09/2016 07:05:23",51.63177,-0.00241
