Latitude,Longitude,Time
52.58888,-1.62326,04/09/2016 06:25:57
52.58894,-1.62342,04/09/2016 06:26:02
52.58908,-1.62363,04/09/2016 06:26:07
52.58918,-1.62378,04/09/2016 06:26:12
52.58913,-1.62392,04/09/2016 06:26:17
52.58906,-1.62411,04/09/2016 06:26:22
52.58923,-1.62439,04/09/2016 06:26:27
52.5893,-1.62444,04/09/2016 06:26:32
52.5894,-1.62426,04/09/2016 06:26:37
52.58983,-1.62378,04/09/2016 06:26:43
52.59009,-1.62365,04/09/2016 06:26:48
52.59041,-1.62367,04/09/2016 06:26:53
52.59063,-1.62314,04/09/2016 06:26:58
52.59074,-1.6227,04/09/2016 06:27:03
52.59094,-1.62221,04/09/2016 06:27:08
52.59116,-1.62181,04/09/2016 06:27:13
52.59158,-1.62168,04/09/2016 06:27:18
52.59173,-1.62131,04/09/2016 06:27:23
52.59148,-1.62085,04/09/2016 06:27:28
52.59147,-1.62082,04/09/2016 06:27:33
52.59155,-1.62068,04/09/2016 06:27:38
52.59199,-1.62056,04/09/2016 06:27:43
52.592,-1.62061,04/09/2016 06:27:48
52.59178,-1.62118,04/09/2016 06:27:53
52.59147,-1.62199,04/09/2016 06:27:58
52.59155,-1.62276,04/09/2016 06:28:03
52.5919,-1.62355,04/09/2016 06:28:08
52.59209,-1.62436,04/09/2016 06:28:13
52.59207,-1.62499,04/09/2016 06:28:18
52.59199,-1.62539,04/09/2016 06:28:23
52.59226,-1.62535,04/09/2016 06:28:28
52.59274,-1.62567,04/09/2016 06:28:33
52.59331,-1.62593,04/09/2016 06:28:38
52.59383,-1.62611,04/09/2016 06:28:43
52.59423,-1.62634,04/09/2016 06:28:48
52.59464,-1.62664,04/09/2016 06:28:53
52.59523,-1.62714,04/09/2016 06:28:59
52.59561,-1.62768,04/09/2016 06:29:04
52.59583,-1.62823,04/09/2016 06:29:09
52.59635,-1.6286,04/09/2016 06:29:14
52.5968,-1.62887,04/09/2016 06:29:19
52.59747,-1.62911,04/09/2016 06:29:24
52.59797,-1.62884,04/09/2016 06:29:29
52.59858,-1.62857,04/09/2016 06:29:34
52.59909,-1.62848,04/09/2016 06:29:39
52.59944,-1.62815,04/09/2016 06:29:44
52.59991,-1.62773,04/09/2016 06:29:49
52.60031,-1.62706,04/09/2016 06:29:54
52.60053,-1.62696,04/09/2016 06:29:59
52.60053,-1.62696,04/09/2016 06:30:48
52.6007,-1.62713,04/09/2016 06:30:54
52.60089,-1.62807,04/09/2016 06:30:59
52.60115,-1.62935,04/09/2016 06:31:04
52.60147,-1.6309,04/09/2016 06:31:09
52.60181,-1.6326,04/09/2016 06:31:14
